Number of data,Reference,Experiment No,Train/Test Set,Catalyst,Base,Base wt%,Base 2,Base 2 wt%,Support,Support wt%,Support 2,Catalyst preparation method,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,CO2 Conversion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,300,1,1.1,24,0,20,0,0,4,73.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,325,1,1.1,24,0,20,0,0,4,80.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",9,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,500,3,500,1,1,10,350,1,1.1,24,0,20,0,0,4,81.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,250,1,1.1,24,0,20,0,0,4,30.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,255,1,1.1,24,0,20,0,0,4,67.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,260,1,1.1,24,0,20,0,0,4,76.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,275,1,1.1,24,0,20,0,0,4,84.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,300,1,1.1,24,0,20,0,0,4,85.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,325,1,1.1,24,0,20,0,0,4,85.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Rui N, Zhang X, Zhang F, Liu Z, Cao X, Xie Z, et al. Highly active Ni/CeO2 catalyst for CO2 methanation: Preparation and characterization. Appl Catal B Environ 2021;282. https://doi.org/10.1016/j.apcatb.2020.119581.",10,Train,Ni/CeO2,Ni,10,None,0,CeO2,90,None,IWI,25,0,500,1,1,10,350,1,1.1,24,0,20,0,0,4,84.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,200,1,1.667,140,0,,0,0,4,2.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,212,1,1.667,140,0,,0,0,4,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,225,1,1.667,140,0,,0,0,4,8.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,238,1,1.667,140,0,,0,0,4,15.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,250,1,1.667,140,0,,0,0,4,35.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,275,1,1.667,140,0,,0,0,4,66.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",11,Test,Ni/CeO2 (H2),Ni,5,None,0,CeO2,95,None,WI,500,4,500,1,1,100,300,1,1.667,140,0,,0,0,4,70.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",12,Train,Ni/TiO2 (H2),Ni,5,None,0,TiO2,95,None,WI,500,4,500,1,1,100,200,1,1.667,140,0,,0,0,4,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",12,Train,Ni/TiO2 (H2),Ni,5,None,0,TiO2,95,None,WI,500,4,500,1,1,100,250,1,1.667,140,0,,0,0,4,3.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",12,Train,Ni/TiO2 (H2),Ni,5,None,0,TiO2,95,None,WI,500,4,500,1,1,100,275,1,1.667,140,0,,0,0,4,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",12,Train,Ni/TiO2 (H2),Ni,5,None,0,TiO2,95,None,WI,500,4,500,1,1,100,300,1,1.667,140,0,,0,0,4,14.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",12,Train,Ni/TiO2 (H2),Ni,5,None,0,TiO2,95,None,WI,500,4,500,1,1,100,350,1,1.667,140,0,,0,0,4,44.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",12,Train,Ni/TiO2 (H2),Ni,5,None,0,TiO2,95,None,WI,500,4,500,1,1,100,400,1,1.667,140,0,,0,0,4,57.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",13,Train,Ni/ZrO2 (H2),Ni,5,None,0,ZrO2,95,None,WI,500,4,500,1,1,100,200,1,1.667,140,0,,0,0,4,1.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",13,Train,Ni/ZrO2 (H2),Ni,5,None,0,ZrO2,95,None,WI,500,4,500,1,1,100,250,1,1.667,140,0,,0,0,4,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",13,Train,Ni/ZrO2 (H2),Ni,5,None,0,ZrO2,95,None,WI,500,4,500,1,1,100,275,1,1.667,140,0,,0,0,4,3.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",13,Train,Ni/ZrO2 (H2),Ni,5,None,0,ZrO2,95,None,WI,500,4,500,1,1,100,300,1,1.667,140,0,,0,0,4,7.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",13,Train,Ni/ZrO2 (H2),Ni,5,None,0,ZrO2,95,None,WI,500,4,500,1,1,100,350,1,1.667,140,0,,0,0,4,14.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Lin S, Hao Z, Shen J, Chang X, Huang S, Li M, et al. Enhancing the CO2 methanation activity of Ni/CeO2 via activation treatment-determined metal-support interaction. J Energy Chem 2021;59:334–42. https://doi.org/10.1016/j.jechem.2020.11.011.",13,Train,Ni/ZrO2 (H2),Ni,5,None,0,ZrO2,95,None,WI,500,4,500,1,1,100,400,1,1.667,140,0,,0,0,4,23.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,200,1,2,50,0,0,0,0,4,0.31746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,225,1,2,50,0,0,0,0,4,0.63492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,250,1,2,50,0,0,0,0,4,1.9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,275,1,2,50,0,0,0,0,4,5.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,300,1,2,50,0,0,0,0,4,12.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,325,1,2,50,0,0,0,0,4,22.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,350,1,2,50,0,0,0,0,4,36.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",14,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,WI,500,6,800,1,1,100,400,1,2,50,0,0,0,0,4,55.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,200,1,2,50,0,0,0,0,4,0.63492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,225,1,2,50,0,0,0,0,4,3.1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,250,1,2,50,0,0,0,0,4,8.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,275,1,2,50,0,0,0,0,4,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,300,1,2,50,0,0,0,0,4,38.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,325,1,2,50,0,0,0,0,4,57.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,350,1,2,50,0,0,0,0,4,69.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",15,Train,Ni/SBA-15,Ni,10,None,0,SBA-15,90,None,AE,500,6,800,1,1,100,400,1,2,50,0,0,0,0,4,73.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,200,1,2,50,0,0,0,0,4,1.2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,225,1,2,50,0,0,0,0,4,5.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,250,1,2,50,0,0,0,0,4,11.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,275,1,2,50,0,0,0,0,4,23.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,300,1,2,50,0,0,0,0,4,40.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,325,1,2,50,0,0,0,0,4,56.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,350,1,2,50,0,0,0,0,4,66.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",16,Train,Ni-Mg/SBA-15,Ni,10,Mg,3,SBA-15,87,None,AE,500,6,800,1,1,100,400,1,2,50,0,0,0,0,4,71.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",17,Train,Ni-Mg/SBA-15,Ni,10,Mg,5,SBA-15,85,None,AE,500,6,800,1,1,100,200,1,2,50,0,0,0,0,4,2.5397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",17,Train,Ni-Mg/SBA-15,Ni,10,Mg,5,SBA-15,85,None,AE,500,6,800,1,1,100,225,1,2,50,0,0,0,0,4,6.9841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",17,Train,Ni-Mg/SBA-15,Ni,10,Mg,5,SBA-15,85,None,AE,500,6,800,1,1,100,250,1,2,50,0,0,0,0,4,17.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Hongmanorom P, Ashok J, Zhang G, Bian Z, Wai MH, Zeng Y, et al. Enhanced performance and selectivity of CO2 methanation over phyllosilicate structure derived Ni-Mg/SBA-15 catalysts. Appl Catal B Environ 2021;282:119564. https://doi.org/10.1016/j.apcatb.2020.119564.",17,Train,Ni-Mg/SBA-15,Ni,10,Mg,5,SBA-15,85,None,AE,500,6,800,1,1,100,275,1,2,50,0,0,0,0,4,33.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
